,id,url,title,year,genre,certificate,runtime,imdb_rating,metascore
131,tt1229238,/title/tt1229238/,Mission: Impossible - Ghost Protocol,2011,"['Action', ' Adventure', ' Thriller']",PG-13,132,74.0,
132,tt2802144,/title/tt2802144/,Kingsman: The Secret Service,2014,"['Action', ' Adventure', ' Comedy']",R,129,77.0,60.0
133,tt8404256,/title/tt8404256/,Snake Eyes,2021,"['Action', ' Adventure', ' Crime']",PG-13,121,53.0,43.0
134,tt1483013,/title/tt1483013/,Oblivion,2013,"['Action', ' Adventure', ' Sci-Fi']",PG-13,124,70.0,54.0
135,tt0848228,/title/tt0848228/,The Avengers,2012,"['Action', ' Adventure', ' Sci-Fi']",PG-13,143,80.0,
136,tt5052448,/title/tt5052448/,Get Out,2017,"['Horror', ' Mystery', ' Thriller']",R,104,77.0,
137,tt7040874,/title/tt7040874/,A Simple Favor,2018,"['Comedy', ' Crime', ' Mystery']",R,117,68.0,
138,tt1631867,/title/tt1631867/,Edge of Tomorrow,2014,"['Action', ' Adventure', ' Sci-Fi']",PG-13,113,79.0,
139,tt1259528,/title/tt1259528/,Den of Thieves,2018,"['Action', ' Crime', ' Drama']",R,140,70.0,49.0
140,tt2084970,/title/tt2084970/,The Imitation Game,2014,"['Biography', ' Drama', ' Thriller']",PG-13,114,80.0,
141,tt7395114,/title/tt7395114/,The Devil All the Time,2020,"['Crime', ' Drama', ' Thriller']",R,138,71.0,55.0
142,t10272386,/title/tt10272386/,The Father,2020,"['Drama', ' Mystery']",PG-13,97,83.0,
143,tt0780504,/title/tt0780504/,Drive,2011,"['Action', ' Drama']",R,100,78.0,
144,tt2119532,/title/tt2119532/,Hacksaw Ridge,2016,"['Biography', ' Drama', ' History']",R,139,81.0,
145,tt3315342,/title/tt3315342/,Logan,2017,"['Action', ' Drama', ' Sci-Fi']",R,137,81.0,
146,tt9620292,/title/tt9620292/,Promising Young Woman,2020,"['Crime', ' Drama', ' Mystery']",R,113,75.0,
147,tt1302006,/title/tt1302006/,The Irishman,2019,"['Biography', ' Crime', ' Drama']",R,209,78.0,
148,tt1386697,/title/tt1386697/,Suicide Squad,2016,"['Action', ' Adventure', ' Fantasy']",PG-13,123,59.0,40.0
149,tt7984766,/title/tt7984766/,The King,2019,"['Biography', ' Drama', ' History']",R,140,72.0,
150,tt0458339,/title/tt0458339/,Captain America: The First Avenger,2011,"['Action', ' Adventure', ' Sci-Fi']",PG-13,124,69.0,
151,tt1343092,/title/tt1343092/,The Great Gatsby,2013,"['Drama', ' Romance']",PG-13,143,72.0,55.0
152,tt1462758,/title/tt1462758/,Buried,2010,"['Drama', ' Mystery', ' Thriller']",R,95,70.0,
153,tt0840361,/title/tt0840361/,The Town,2010,"['Crime', ' Drama', ' Thriller']",R,125,75.0,
154,tt8106534,/title/tt8106534/,6 Underground,2019,"['Action', ' Thriller']",R,128,61.0,41.0
155,t11235772,/title/tt11235772/,The Voyeurs,2021,"['Drama', ' Mystery', ' Thriller']",R,116,60.0,54.0
156,tt1723121,/title/tt1723121/,We're the Millers,2013,"['Comedy', ' Crime']",R,110,70.0,44.0
